Respondent #,q5,q6,race
501,Agree,Agree,White
502,Agree,Agree,White
503,Agree,Agree,White
504,Neutral,Neutral,White
505,Agree,Agree,White
506,Agree,Agree,White
507,Agree,Agree,White
508,Agree,Agree,White
509,Agree,Agree,White
510,Neutral,Neutral,White
511,Agree,Neutral,White
512,Neutral,Disagree,White
513,Agree,Agree,White
514,Agree,Prefer Not to Say,White
515,Agree,Disagree,White
516,Agree,Agree,White
517,Neutral,Neutral,White
518,Agree,Agree,White
519,Agree,Agree,White
520,Agree,Neutral,White
521,Agree,Agree,White
522,Agree,Agree,Asian
523,Neutral,Agree,Hispanic or Latino
524,Neutral,Agree,Asian
525,Agree,Agree,White
526,Agree,Agree,White
527,Agree,Agree,White
528,Neutral,Neutral,White
529,Neutral,Neutral,White
530,Agree,Agree,Asian
531,Agree,Agree,White
532,Neutral,Prefer Not to Say,White
533,Agree,Agree,Hispanic or Latino
534,Neutral,Disagree,Hispanic or Latino
535,Agree,Agree,White
536,Neutral,Prefer Not to Say,White
537,Agree,Neutral,White
538,Agree,Neutral,White
539,Agree,Agree,White
540,Agree,Agree,White
541,Neutral,Agree,White
542,Agree,Neutral,White
543,Agree,Neutral,White
544,Agree,Prefer Not to Say,White
545,Agree,Agree,White
546,Agree,Agree,White
547,Agree,Agree,White
548,Agree,Agree,White
549,Agree,Agree,White
550,Agree,Agree,White
551,Agree,Disagree,White
552,Agree,Agree,White
553,Agree,Agree,White
554,Agree,Agree,Hispanic or Latino
555,Agree,Neutral,White
556,Agree,Neutral,White
557,Agree,Agree,White
558,Agree,Disagree,White
559,Agree,Agree,White
560,Neutral,Neutral,White
561,Agree,Agree,Hispanic or Latino
562,Neutral,Agree,White
563,Agree,Agree,White
564,Agree,Agree,Hispanic or Latino
565,Agree,Agree,White
566,Agree,Agree,White
567,Agree,Agree,White
568,Neutral,Neutral,White
569,Agree,Agree,White
570,Agree,Agree,White
571,Agree,Agree,White
572,Neutral,Agree,White
573,Agree,Agree,Hispanic or Latino
574,Agree,Agree,Black or African American
575,Agree,Neutral,White
576,Agree,Agree,Hispanic or Latino
577,Agree,Agree,White
578,Agree,Agree,White
579,Neutral,Agree,White
580,Agree,Agree,White
581,Neutral,Agree,White
582,Agree,Agree,Hispanic or Latino
583,Agree,Neutral,White
584,Agree,Agree,White
585,Agree,Agree,White
586,Agree,Agree,White
587,Agree,Neutral,White
588,Agree,Agree,Asian
589,Agree,Agree,White
590,Agree,Agree,Asian
591,Agree,Agree,White
592,Neutral,Neutral,White
593,Neutral,Neutral,White
594,Agree,Agree,White
595,Agree,Agree,White
596,Neutral,Neutral,White
597,Agree,Agree,White
598,Agree,Agree,Two or more races
599,Agree,Agree,White
600,Agree,Agree,White
601,Agree,Neutral,White
602,Agree,Agree,White
603,Neutral,Neutral,White
604,Agree,Agree,White
605,Disagree,Disagree,Two or more races
606,Agree,Agree,White
607,Agree,Agree,White
608,Agree,Agree,White
609,Prefer Not to Say,Agree,White
610,Agree,Agree,Black or African American
611,Agree,Agree,White
612,Agree,Agree,White
613,Agree,Agree,Hispanic or Latino
614,Neutral,Neutral,Hispanic or Latino
615,Agree,Agree,White
616,Neutral,Agree,White
617,Agree,Agree,White
618,Agree,Agree,White
619,Agree,Agree,White
620,Agree,Agree,White
621,Agree,Agree,White
622,Neutral,Agree,White
