contactsaddressid,vanid,city_x,state_x,zip5,latitude_x,longitude_x,zip,city_y,state_y,latitude_y,longitude_y,timezone,daylight_savings_time_flag,geopoint
1522343,100602286,Odessa,FL,33556,,,33556,Odessa,FL,28.143377,-82.59054,-5,1,"28.143377, -82.59054"
1657571,101839463,Sioux City,IA,51106,,,51106,Sioux City,IA,42.466292,-96.35291,-6,1,"42.466292, -96.35291"
1667757,101846009,Santee,CA,92071,,,92071,Santee,CA,32.84681,-116.98983,-8,1,"32.84681, -116.98983"
631053,100637566,Kissimmee,FL,34743,,,34743,Kissimmee,FL,28.325715,-81.35408,-5,1,"28.325715, -81.35408"
907323,100913836,Miami,FL,33172,,,33172,Miami,FL,25.786634,-80.36151,-5,1,"25.786634, -80.36151"
909529,100916042,Brooklyn,NY,11214,,,11214,Brooklyn,NY,40.598994,-73.99611,-5,1,"40.598994, -73.99611"
928367,100934880,Dickinson,ND,58601,,,58601,Dickinson,ND,46.878057,-102.8041,-7,1,"46.878057, -102.8041"
1679501,101853610,San Diego,CA,92127,,,92127,San Diego,CA,33.022384,-117.10694,-8,1,"33.022384, -117.10694"
2205378,101863916,The Woodlands,TX,77382,,,77382,Spring,TX,30.214741,-95.53212,-6,1,"30.214741, -95.53212"
2399234,100642064,Houston,TX,77005,,,77005,Houston,TX,29.717529,-95.42821,-6,1,"29.717529, -95.42821"
912410,100918923,Lansing,MI,48917,,,48917,Lansing,MI,42.735535,-84.62698,-5,1,"42.735535, -84.62698"
1382163,100946023,Eden Prairie,MN,55347,,,55347,Eden Prairie,MN,44.831413,-93.46031,-6,1,"44.831413, -93.46031"
1629536,101833400,,,,,,,,,,,,,
2187060,102339533,Scottsdale,AZ,85250,,,85250,Scottsdale,AZ,33.521433,-111.90944,-7,0,"33.521433, -111.90944"
2270600,101674776,Alpharetta,GA,30005,,,30005,Alpharetta,GA,34.080035,-84.21929,-5,1,"34.080035, -84.21929"
2274273,101400549,Shrewsbury,PA,17361,,,17361,Shrewsbury,PA,39.765405,-76.67748,-5,1,"39.765405, -76.67748"
550960,100557473,Scottsdale,AZ,85258,,,85258,Scottsdale,AZ,33.566635,-111.89337,-7,0,"33.566635, -111.89337"
685603,100692116,Hollywood,FL,33024,,,33024,Hollywood,FL,26.023567,-80.23851,-5,1,"26.023567, -80.23851"
930514,100937027,Womelsdorf,PA,19567,,,19567,Womelsdorf,PA,40.373285,-76.20054,-5,1,"40.373285, -76.20054"
1662315,101838991,Downey,CA,90241,,,90241,Downey,CA,33.942289,-118.12901,-8,1,"33.942289, -118.12901"
2288643,102203430,Bainbridge Island,WA,98110,,,98110,Bainbridge Island,WA,47.65526,-122.53508,-8,1,"47.65526, -122.53508"
2298933,101781463,Cleveland,OH,44114,,,44114,Cleveland,OH,41.50988,-81.6753,-5,1,"41.50988, -81.6753"
706198,100712711,Clarendon Hills,IL,60514,,,60514,Clarendon Hills,IL,41.779533,-87.95798,-6,1,"41.779533, -87.95798"
955859,100962372,Providence,RI,2908,,,2908,Providence,RI,41.839296,-71.43802,-5,1,"41.839296, -71.43802"
1169257,100650921,Virgilina,VA,,,,,,,,,,,
1661970,101842031,Cordova,TN,38018,,,38018,Cordova,TN,35.157681,-89.78249,-6,1,"35.157681, -89.78249"
1947510,102111212,Mooresville,NC,28117,,,28117,Mooresville,NC,35.571827,-80.89228,-5,1,"35.571827, -80.89228"
678382,100684895,Coppell,TX,75019,,,75019,Coppell,TX,32.967341,-96.98656,-6,1,"32.967341, -96.98656"
1661289,101841468,Columbus,OH,43230,,,43230,Columbus,OH,40.039963,-82.87855,-5,1,"40.039963, -82.87855"
1866178,101846126,Planada,CA,95365,,,95365,Planada,CA,37.297403,-120.32285,-8,1,"37.297403, -120.32285"
2237750,102339541,Bountiful,UT,84010,,,84010,Bountiful,UT,40.876312,-111.87249,-7,1,"40.876312, -111.87249"
634418,100640931,Fredericksburg,VA,22407,,,22407,Fredericksburg,VA,38.271028,-77.5559,-5,1,"38.271028, -77.5559"
753538,100760051,Pompano Beach,FL,33076,,,33076,Pompano Beach,FL,26.30116,-80.2731,-5,1,"26.30116, -80.2731"
1651818,101835070,Arlington,VA,22201,,,22201,Arlington,VA,38.885337,-77.09512,-5,1,"38.885337, -77.09512"
607708,100614221,Covington,KY,41011,,,41011,Covington,KY,39.0752,-84.52064,-5,1,"39.0752, -84.52064"
711681,100718194,Salt Lake City,UT,84116,,,84116,Salt Lake City,UT,40.790309,-111.94018,-7,1,"40.790309, -111.94018"
824657,100831170,,,90286,,,,,,,,,,
1867949,101846553,San Antonio,TX,78209,,,78209,San Antonio,TX,29.48618,-98.4568,-6,1,"29.48618, -98.4568"
2140471,100751836,Orlando,FL,32803,,,32803,Orlando,FL,28.557579,-81.35244,-5,1,"28.557579, -81.35244"
2224603,100871801,New City,NY,10956,,,10956,New City,NY,41.145495,-73.9949,-5,1,"41.145495, -73.9949"
2274715,102135915,Oakland,CA,94606,,,94606,Oakland,CA,37.793177,-122.24352,-8,1,"37.793177, -122.24352"
1428142,101415518,Belle Chasse,LA,70037,,,70037,Belle Chasse,LA,29.822707,-90.00616,-6,1,"29.822707, -90.00616"
2207281,102329377,Lutherville Timonium,MD,21094,,,21094,Lutherville Timonium,MD,39.438964,-76.592139,-5,1,"39.438964, -76.592139"
2305901,100690210,Atlanta,GA,30318,,,30318,Atlanta,GA,33.786805,-84.437,-5,1,"33.786805, -84.437"
909173,100915686,Pittsburgh,PA,15213,,,15213,Pittsburgh,PA,40.443269,-79.95487,-5,1,"40.443269, -79.95487"
715760,100722273,Nashua,NH,,,,,,,,,,,
1651279,100888415,Bethesda,MD,20816,,,20816,Bethesda,MD,38.958377,-77.11425,-5,1,"38.958377, -77.11425"
2292380,101541031,Pompano Beach,FL,33076,,,33076,Pompano Beach,FL,26.30116,-80.2731,-5,1,"26.30116, -80.2731"
2328248,101705784,Woodbury,NJ,8096,,,8096,Woodbury,NJ,39.830313,-75.13221,-5,1,"39.830313, -75.13221"
621058,100627571,Oviedo,FL,32765,,,32765,Oviedo,FL,28.656375,-81.21026,-5,1,"28.656375, -81.21026"
886383,100892896,Cascade Twp,MI,49546,,,49546,Grand Rapids,MI,42.927801,-85.54582,-5,1,"42.927801, -85.54582"
970973,100977486,Virginia Beach,VA,23462,,,23462,Virginia Beach,VA,36.839648,-76.15177,-5,1,"36.839648, -76.15177"
1627306,100668154,,,,,,,,,,,,,
1664819,100655848,San Diego,CA,92127,,,92127,San Diego,CA,33.022384,-117.10694,-8,1,"33.022384, -117.10694"
1688369,100563864,Huntington Woods,MI,48070,,,48070,Huntington Woods,MI,42.482585,-83.16812,-5,1,"42.482585, -83.16812"
2314024,100922886,Greenville,NC,27834,,,27834,Greenville,NC,35.626653,-77.37896,-5,1,"35.626653, -77.37896"
540051,100546564,Lutherville Timonium,MD,21093,,,21093,Lutherville Timonium,MD,39.435789,-76.63614,-5,1,"39.435789, -76.63614"
554576,100561089,Wexford,PA,15090,,,15090,Wexford,PA,40.617016,-80.05916,-5,1,"40.617016, -80.05916"
1863914,101837395,Brooklyn,NY,11215,,,11215,Brooklyn,NY,40.667508,-73.9856,-5,1,"40.667508, -73.9856"
2278287,100822885,Stamford,CT,6905,,,6905,Stamford,CT,41.081396,-73.54506,-5,1,"41.081396, -73.54506"
594511,100601024,Maineville,OH,45039,,,45039,Maineville,OH,39.317735,-84.24728,-5,1,"39.317735, -84.24728"
1291307,100627085,,,,,,,,,,,,,
1660944,101841222,Columbus,OH,43230,,,43230,Columbus,OH,40.039963,-82.87855,-5,1,"40.039963, -82.87855"
1685650,101831278,Houston,TX,77056,,,77056,Houston,TX,29.747328,-95.46931,-6,1,"29.747328, -95.46931"
1967149,102130350,Topanga,CA,90290,,,90290,Topanga,CA,34.101447,-118.59933,-8,1,"34.101447, -118.59933"
2272134,100740240,Tustin,CA,92780,,,92780,Tustin,CA,33.741651,-117.82127,-8,1,"33.741651, -117.82127"
551843,100558356,Nehawka,NE,68413,,,68413,Nehawka,NE,40.833188,-96.00315,-6,1,"40.833188, -96.00315"
828579,100835092,Helena,AL,35080,,,35080,Helena,AL,33.280625,-86.88411,-6,1,"33.280625, -86.88411"
879251,100644397,Los Angeles,CA,90004,,,90004,Los Angeles,CA,34.07711,-118.30755,-8,1,"34.07711, -118.30755"
1643062,101828348,Asbury Park,NJ,7712,,,7712,Asbury Park,NJ,40.232713,-74.03143,-5,1,"40.232713, -74.03143"
1693491,101835892,West Chester,PA,19382,,,19382,West Chester,PA,39.940043,-75.59729,-5,1,"39.940043, -75.59729"
2268042,101582003,Fort Lauderdale,FL,33331,,,33331,Fort Lauderdale,FL,26.056111,-80.36373,-5,1,"26.056111, -80.36373"
1688436,100704449,Ocean View,DE,19970,,,19970,Ocean View,DE,38.55044,-75.09928,-5,1,"38.55044, -75.09928"
1870044,102037153,Downers Grove,IL,60515,,,60515,Downers Grove,IL,41.80348,-88.01827,-6,1,"41.80348, -88.01827"
2233230,100710759,Washington,DC,20016,,,20016,Washington,DC,38.94081,-77.08723,-5,1,"38.94081, -77.08723"
863041,100869554,Melville,NY,11747,,,11747,Melville,NY,40.791593,-73.40543,-5,1,"40.791593, -73.40543"
1440208,100898419,Florida,FL,,,,,,,,,,,
933793,100940306,Bolton,CT,,,,,,,,,,,
803438,100809951,Huntington Station,NY,11746,,,11746,Huntington Station,NY,40.821698,-73.37553,-5,1,"40.821698, -73.37553"
891500,100898013,Bethel,CT,,,,,,,,,,,
