contactsaddressid,vanid,zip5,zip4,latitude,longitude,datecreated,dateunsubscribed
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546320,100552833,11233,,,,9/11/19,
546892,100553405,80220,,,,11/19/19,
546892,100553405,80220,,,,11/19/19,4/23/19
546892,100553405,80220,,,,11/19/19,
546892,100553405,80220,,,,11/19/19,
546892,100553405,80220,,,,11/19/19,4/23/19
546892,100553405,80220,,,,11/19/19,
546892,100553405,80220,,,,11/19/19,
546892,100553405,80220,,,,11/19/19,4/23/19
546892,100553405,80220,,,,11/19/19,
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,11/7/20
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,11/7/20
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,11/7/20
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,11/7/20
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,
552326,100558839,45233,,,,9/11/19,11/7/20
558609,100565122,43201,,,,9/11/19,
558609,100565122,43201,,,,9/11/19,12/3/19
558609,100565122,43201,,,,9/11/19,
558609,100565122,43201,,,,9/11/19,12/3/19
558609,100565122,43201,,,,9/11/19,
558609,100565122,43201,,,,9/11/19,12/3/19
558609,100565122,43201,,,,9/11/19,
558609,100565122,43201,,,,9/11/19,12/3/19
558609,100565122,43201,,,,9/11/19,
558609,100565122,43201,,,,9/11/19,12/3/19
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
568743,100575256,34698,,,,9/11/19,
565769,100572282,70065,,,,9/11/19,
565769,100572282,70065,,,,9/11/19,12/3/19
565769,100572282,70065,,,,9/11/19,
565769,100572282,70065,,,,9/11/19,12/3/19
565769,100572282,70065,,,,9/11/19,
565769,100572282,70065,,,,9/11/19,12/3/19
565769,100572282,70065,,,,9/11/19,
565769,100572282,70065,,,,9/11/19,12/3/19
565769,100572282,70065,,,,9/11/19,
565769,100572282,70065,,,,9/11/19,12/3/19
546377,100552890,32714,,,,9/11/19,
546377,100552890,32714,,,,9/11/19,
546377,100552890,32714,,,,9/11/19,
546377,100552890,32714,,,,9/11/19,
546377,100552890,32714,,,,9/11/19,
546377,100552890,32714,,,,9/11/19,
546377,100552890,32714,,,,9/11/19,
537338,100543851,32801,,,,9/11/19,
537338,100543851,32801,,,,9/11/19,
537338,100543851,32801,,,,9/11/19,
537338,100543851,32801,,,,9/11/19,
537338,100543851,32801,,,,9/11/19,
537338,100543851,32801,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
537573,100544086,30087,,,,9/11/19,
591351,100597864,22203,2838,,,11/7/19,
591351,100597864,22203,2838,,,11/7/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
591351,100597864,22203,2838,,,9/11/19,
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
555397,100561910,80634,4307,,,9/11/19,4/12/22
555397,100561910,80634,4307,,,9/11/19,11/21/20
556291,100562804,,,,,11/19/19,
556291,100562804,,,,,11/19/19,4/15/19
556291,100562804,,,,,11/19/19,
556291,100562804,,,,,11/19/19,4/15/19
556291,100562804,,,,,11/19/19,
556291,100562804,,,,,11/19/19,4/15/19
556291,100562804,,,,,11/19/19,
556291,100562804,,,,,11/19/19,4/15/19
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
562912,100569425,98407,2208,,,9/11/19,
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,9/25/19
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,9/25/19
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,9/25/19
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,9/25/19
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,
568821,100575334,46375,,,,9/11/19,9/25/19
568821,100575334,46375,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
580173,100586686,85017,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
584796,100591309,27713,,,,9/11/19,
548051,100554564,63109,,,,9/11/19,
548051,100554564,63109,,,,9/11/19,12/1/20
548051,100554564,63109,,,,9/11/19,
548051,100554564,63109,,,,9/11/19,12/1/20
548051,100554564,63109,,,,9/11/19,
548051,100554564,63109,,,,9/11/19,12/1/20
548051,100554564,63109,,,,9/11/19,
548051,100554564,63109,,,,9/11/19,12/1/20
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
556340,100562853,94028,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
561082,100567595,2356,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
571287,100577800,45011,,,,9/11/19,
535660,100542173,33067,2446,,,10/29/19,
535660,100542173,33067,2446,,,10/29/19,
535660,100542173,33067,2446,,,10/29/19,
535660,100542173,33067,2446,,,10/29/19,
535660,100542173,33067,2446,,,10/29/19,
