,zip,city,state,latitude,longitude,timezone,daylight_savings_time_flag,geopoint
0,95717,Gold Run,CA,39.177026,-120.8451,-8,1,"39.177026, -120.8451"
1,71340,Harrisonburg,LA,31.765818,-91.82382,-6,1,"31.765818, -91.82382"
2,80223,Denver,CO,39.699156,-104.99999,-7,1,"39.699156, -104.99999"
3,98125,Seattle,WA,47.716648,-122.30308,-8,1,"47.716648, -122.30308"
4,36689,Mobile,AL,30.658865,-88.177975,-6,1,"30.658865, -88.177975"
5,1373,South Deerfield,MA,42.472734,-72.62452,-5,1,"42.472734, -72.62452"
6,45694,Wheelersburg,OH,38.729816,-82.80039999999998,-5,1,"38.729816, -82.8004"
7,80809,Cascade,CO,38.911701,-104.98731,-7,1,"38.911701, -104.98731"
8,56441,Crosby,MN,46.528094,-93.98055,-6,1,"46.528094, -93.98055"
9,35584,Sipsey,AL,33.823683,-87.08699,-6,1,"33.823683, -87.08699"
10,83839,Kingston,ID,47.566703,-116.20773999999999,-8,1,"47.566703, -116.20774"
11,76263,Rosston,TX,33.487842,-97.42115500000001,-6,1,"33.487842, -97.421155"
12,13031,Camillus,NY,43.039916,-76.28757,-5,1,"43.039916, -76.28757"
13,49666,Mayfield,MI,44.635328,-85.5614,-5,1,"44.635328, -85.5614"
14,15468,New Salem,PA,39.936535,-79.84668999999998,-5,1,"39.936535, -79.84669"
15,43947,Shadyside,OH,39.964553,-80.76013,-5,1,"39.964553, -80.76013"
16,68333,Crete,NE,40.620175,-96.96099,-6,1,"40.620175, -96.96099"
17,76958,Water Valley,TX,31.663528999999997,-100.71789,-6,1,"31.663529, -100.71789"
18,11803,Plainview,NY,40.779911,-73.47947999999998,-5,1,"40.779911, -73.47948"
19,71452,Melrose,LA,31.612618,-92.98075,-6,1,"31.612618, -92.98075"
20,37620,Bristol,TN,36.561341,-82.16869,-5,1,"36.561341, -82.16869"
21,43437,Jerry City,OH,41.252306,-83.60464,-5,1,"41.252306, -83.60464"
22,37371,Athens,TN,35.441376,-84.64162299999998,-5,1,"35.441376, -84.641623"
23,55175,Saint Paul,MN,45.005902,-93.105869,-6,1,"45.005902, -93.105869"
24,68767,Pierce,NE,42.200994,-97.54527,-6,1,"42.200994, -97.54527"
25,75230,Dallas,TX,32.901176,-96.79054,-6,1,"32.901176, -96.79054"
26,76472,Santo,TX,32.617128,-98.17476,-6,1,"32.617128, -98.17476"
27,15928,Davidsville,PA,40.23741,-78.92977999999998,-5,1,"40.23741, -78.92978"
28,42783,Summit,KY,37.567134,-86.08525899999998,-5,1,"37.567134, -86.085259"
29,97528,Grants Pass,OR,42.396421,-123.535027,-8,1,"42.396421, -123.535027"
30,4621,Eastport,ME,44.904789,-66.990529,-5,1,"44.904789, -66.990529"
31,75683,Ore City,TX,32.809766,-94.70513,-6,1,"32.809766, -94.70513"
32,42088,Wingo,KY,36.627427,-88.74845,-6,1,"36.627427, -88.74845"
33,75025,Plano,TX,33.086868,-96.74504,-6,1,"33.086868, -96.74504"
34,55189,Saint Paul,MN,45.005902,-93.105869,-6,1,"45.005902, -93.105869"
35,93702,Fresno,CA,36.741199,-119.7553,-8,1,"36.741199, -119.7553"
36,37239,Nashville,TN,36.186605,-86.78524799999998,-6,1,"36.186605, -86.785248"
37,57202,Waverly,SD,44.977634,-97.188372,-6,1,"44.977634, -97.188372"
38,17211,Artemas,PA,39.742192,-78.42113,-5,1,"39.742192, -78.42113"
39,70167,New Orleans,LA,30.032997,-89.882564,-6,1,"30.032997, -89.882564"
